 time            v(Clk)          v(Wr)           i(Vdd)         
 3.20000000e-14  8.00000000e-01  8.00000000e-01 -2.11414188e-01 
 6.40000000e-14  8.00000000e-01  8.00000000e-01 -2.64893133e-03 
 1.28000000e-13  8.00000000e-01  8.00000000e-01 -2.77465944e-04 
 2.56000000e-13  8.00000000e-01  8.00000000e-01 -2.52224116e-03 
 5.12000000e-13  8.00000000e-01  8.00000000e-01 -1.46726541e-04 
 1.02400000e-12  8.00000000e-01  8.00000000e-01 -2.26669553e-03 
 2.04800000e-12  8.00000000e-01  8.00000000e-01  2.03471669e-04 
 3.20000000e-12  8.00000000e-01  8.00000000e-01 -1.93491098e-03 
 3.40480000e-12  8.00000000e-01  8.00000000e-01 -7.93176467e-04 
 3.81440000e-12  8.00000000e-01  8.00000000e-01 -7.66353273e-04 
 4.63360000e-12  8.00000000e-01  8.00000000e-01 -7.37745167e-04 
 6.27200000e-12  8.00000000e-01  8.00000000e-01 -6.97350091e-04 
 9.47200000e-12  8.00000000e-01  8.00000000e-01 -6.18776929e-04 
 1.26720000e-11  8.00000000e-01  8.00000000e-01 -5.50936291e-04 
 1.58720000e-11  8.00000000e-01  8.00000000e-01 -5.62200594e-04 
 1.90720000e-11  8.00000000e-01  8.00000000e-01 -5.86314657e-04 
 2.22720000e-11  8.00000000e-01  8.00000000e-01 -6.15961303e-04 
 2.54720000e-11  8.00000000e-01  8.00000000e-01 -6.77446757e-04 
 2.86720000e-11  8.00000000e-01  8.00000000e-01 -6.54836315e-04 
 3.18720000e-11  8.00000000e-01  8.00000000e-01 -4.92293224e-04 
 3.50720000e-11  8.00000000e-01  8.00000000e-01 -3.96828575e-04 
 3.82720000e-11  8.00000000e-01  8.00000000e-01 -2.98383259e-04 
 4.14720000e-11  8.00000000e-01  8.00000000e-01 -2.60951733e-04 
 4.46720000e-11  8.00000000e-01  8.00000000e-01 -2.17346257e-04 
 4.78720000e-11  8.00000000e-01  8.00000000e-01 -2.03314978e-04 
 5.10720000e-11  8.00000000e-01  8.00000000e-01 -1.52112981e-04 
 5.42720000e-11  8.00000000e-01  8.00000000e-01 -1.09141733e-04 
 5.74720000e-11  8.00000000e-01  8.00000000e-01 -6.77435821e-05 
 6.06720000e-11  8.00000000e-01  8.00000000e-01 -6.00940249e-05 
 6.38720000e-11  8.00000000e-01  8.00000000e-01 -3.64124777e-05 
 6.70720000e-11  8.00000000e-01  8.00000000e-01 -4.02802795e-05 
 7.02720000e-11  8.00000000e-01  8.00000000e-01 -2.29914962e-05 
 7.34720000e-11  8.00000000e-01  8.00000000e-01 -3.05546696e-05 
 7.66720000e-11  8.00000000e-01  8.00000000e-01 -1.56057606e-05 
 7.98720000e-11  8.00000000e-01  8.00000000e-01 -2.47015622e-05 
 8.30720000e-11  8.00000000e-01  8.00000000e-01 -1.08360864e-05 
 8.62720000e-11  8.00000000e-01  8.00000000e-01 -2.07094196e-05 
 8.94720000e-11  8.00000000e-01  8.00000000e-01 -7.45116792e-06 
 9.26720000e-11  8.00000000e-01  8.00000000e-01 -1.77930232e-05 
 9.58720000e-11  8.00000000e-01  8.00000000e-01 -4.93272328e-06 
 9.90720000e-11  8.00000000e-01  8.00000000e-01 -1.55941108e-05 
 1.02272000e-10  8.00000000e-01  8.00000000e-01 -3.02089040e-06 
 1.05472000e-10  8.00000000e-01  8.00000000e-01 -1.39149294e-05 
 1.08672000e-10  8.00000000e-01  8.00000000e-01 -1.55840415e-06 
 1.11872000e-10  8.00000000e-01  8.00000000e-01 -1.26264310e-05 
 1.15072000e-10  8.00000000e-01  8.00000000e-01 -4.36475981e-07 
 1.18272000e-10  8.00000000e-01  8.00000000e-01 -1.16352287e-05 
 1.21472000e-10  8.00000000e-01  8.00000000e-01  4.25802919e-07 
 1.24672000e-10  8.00000000e-01  8.00000000e-01 -1.08708034e-05 
 1.27872000e-10  8.00000000e-01  8.00000000e-01  1.09010119e-06 
 1.31072000e-10  8.00000000e-01  8.00000000e-01 -1.02791676e-05 
 1.34272000e-10  8.00000000e-01  8.00000000e-01  1.60362558e-06 
 1.37472000e-10  8.00000000e-01  8.00000000e-01 -9.81907265e-06 
 1.40672000e-10  8.00000000e-01  8.00000000e-01  2.00243429e-06 
 1.43872000e-10  8.00000000e-01  8.00000000e-01 -9.45903202e-06 
 1.47072000e-10  8.00000000e-01  8.00000000e-01  2.31395711e-06 
 1.47500000e-10  8.00000000e-01  8.00000000e-01 -9.27572824e-06 
 1.47820000e-10  7.89760000e-01  8.00000000e-01 -4.03761113e-06 
